List.Year,Date.Recorded,Town,Assessed.Value,Sale.Amount,Sales.Ratio,Property.Type,County,Longitude,Latitude
2009,04/01/2010,Hartford,18240.0,53000.0,0.344150943,Condo,Hartford,-72.7012646,41.7691842
2010,08/08/2011,Bridgeport,147410.0,136000.0,1.083897059,Single Family,Fairfield,-73.2117791,41.2262385
2007,07/11/2008,Branford,158700.0,200000.0,0.7935,Single Family,New Haven,-72.8028717,41.2705928
2018,08/06/2019,South Windsor,129900.0,210000.0,0.6185,Single Family,Hartford,-72.5118504,41.827171
2007,11/13/2007,West Hartford,102000.0,470000.0,0.217021277,Condo,Hartford,-72.7708569,41.7435921
2007,10/11/2007,East Hampton,181320.0,292000.0,0.620958904,Single Family,Middlesex,-72.4884759,41.570739
2012,07/31/2013,Easton,366830.0,327000.0,1.121804281,Single Family,Fairfield,-73.2489147,41.2470587
2019,04/24/2020,Waterbury,31240.0,58000.0,0.5386,Condo,New Haven,-73.022533,41.5499355
2015,05/31/2016,Simsbury,198430.0,282000.0,0.703652482,Single Family,Hartford,-72.8108119,41.8863022
2007,09/24/2008,Thomaston,162920.0,235000.0,0.693276596,Single Family,Litchfield,-73.1244955,41.6689681
2019,09/02/2020,Canton,135920.0,170000.0,0.7995,Single Family,Hartford,-72.9147963,41.8676752
2019,05/05/2020,Cromwell,236390.0,388000.0,0.6093,Single Family,Middlesex,-72.6734372,41.6123054
2014,12/04/2014,Southington,197640.0,330000.0,0.598909091,Single Family,Hartford,-72.8589097,41.5844793
2012,05/30/2013,Oxford,259300.0,435000.0,0.596091954,Condo,New Haven,-73.1095546,41.4676602
2015,04/25/2016,Stratford,150430.0,181500.0,0.828815427,Single Family,Fairfield,-73.1209687,41.2065138
2012,10/31/2012,Branford,226800.0,380000.0,0.596842105,Single Family,New Haven,-72.8087742,41.2788474
2014,08/03/2015,Bridgeport,196230.0,207000.0,0.947971014,Three Family,Fairfield,-73.163145,41.192716
2014,01/09/2015,Stamford,219580.0,530000.0,0.414301887,Three Family,Fairfield,-73.541675,41.0437744
2008,08/27/2009,Southbury,86100.0,138000.0,0.623913043,Condo,New Haven,-73.2344362,41.494844
2018,06/27/2019,Stratford,108430.0,212000.0,0.5114,Condo,Fairfield,-73.1112641,41.2452602
2010,05/06/2011,New Britain,109060.0,127500.0,0.855372549,Condo,Hartford,-72.7744093,41.7137743
2013,04/30/2014,Manchester,158500.0,226030.0,0.701234349,Single Family,Hartford,-72.4894928,41.7773838
2015,06/17/2016,Burlington,279160.0,355000.0,0.786366197,Single Family,Hartford,-72.9083591,41.7643962
2007,06/18/2008,Suffield,127750.0,249000.0,0.513052209,Condo,Hartford,-72.6124986,41.9890512
2019,06/30/2020,Shelton,172200.0,232000.0,0.7422,Condo,Fairfield,-73.0901697,41.3061717
2020,10/16/2020,Portland,96460.0,199900.0,0.4825,Residential,Middlesex,-72.6268166,41.5650439
2016,12/16/2016,Southbury,56930.0,124000.0,0.459112903,Condo,New Haven,-73.24708,41.488058
2016,04/24/2017,East Hartford,106680.0,165000.0,0.646545455,Single Family,Hartford,-72.6203489,41.7403788
2014,03/06/2015,Plymouth,155070.0,265000.0,0.585169811,Single Family,Litchfield,-73.0239012,41.6744559
2020,08/10/2021,Berlin,148200.0,220000.0,0.6736,Residential,Hartford,-72.7544398,41.6171373
2014,03/02/2015,Glastonbury,161500.0,235000.0,0.687234043,Single Family,Hartford,-72.5539644,41.724263
2018,11/08/2018,Enfield,112150.0,190000.0,0.5902,Single Family,Hartford,-72.5855943,41.9626031
2019,07/17/2020,Milford,135400.0,226000.0,0.5991,Condo,New Haven,-73.056517,41.211283
2014,08/10/2015,Norwalk,211460.0,308114.0,0.68630442,Single Family,Fairfield,-73.4326847,41.1159323
2012,02/28/2013,Southington,62660.0,98000.0,0.639387755,Condo,Hartford,-72.8870159,41.6106902
2013,07/01/2014,Stonington,372600.0,425000.0,0.876705882,Condo,New London,-71.9534019,41.3348856
2011,12/06/2011,New Haven,103490.0,165000.0,0.627212121,Condo,New Haven,-72.8961375,41.2747638
2014,06/12/2015,Groton,407890.0,651500.0,0.626078281,Single Family,New London,-71.9980408,41.3367006
2016,12/01/2016,Southbury,309910.0,397000.0,0.780629723,Single Family,New Haven,-73.1808487,41.4796539
2016,06/29/2017,Torrington,75700.0,80000.0,0.94625,Three Family,Litchfield,-73.1194473,41.7927492
2018,08/07/2019,Salem,18800.0,40000.0,0.47,Condo,New London,-72.2418735,41.4634325
2006,02/13/2007,Avon,164690.0,335000.0,0.49161194,Single Family,Hartford,-72.8418781,41.8019644
2014,11/26/2014,Canton,166960.0,212000.0,0.78754717,Single Family,Hartford,-72.9324571,41.8268891
2006,11/16/2006,Naugatuck,107130.0,236900.0,0.452216125,Single Family,New Haven,-73.0207648,41.4857622
2016,06/08/2017,Glastonbury,98400.0,157725.0,0.623870661,Condo,Hartford,-72.5924127,41.7246795
2012,06/21/2013,West Haven,129640.0,233000.0,0.55639485,Single Family,New Haven,-72.9657802,41.2497379
2016,08/01/2017,Cromwell,109080.0,154000.0,0.708311688,Condo,Middlesex,-72.6716794,41.6111464
2012,08/29/2013,Madison,277200.0,270000.0,1.026666667,Single Family,New Haven,-72.6647073,41.3392122
2012,10/26/2012,Meriden,94570.0,91000.0,1.039230769,Single Family,New Haven,-72.7823274,41.5466885
2017,12/08/2017,Groton,369110.0,485000.0,0.761051546,Single Family,New London,-71.987391,41.3570265
2014,06/26/2015,Watertown,172500.0,325000.0,0.530769231,Single Family,Litchfield,-73.1595445,41.6232464
2020,12/28/2020,Bristol,102270.0,229600.0,0.4454,Residential,Hartford,-72.9513855,41.6700984
2015,11/13/2015,Torrington,57850.0,70000.0,0.826428571,Condo,Litchfield,-73.1136129,41.8724464
2006,03/30/2007,Lebanon,98090.0,215000.0,0.456232558,Single Family,New London,-72.2798876,41.628625
2020,07/26/2021,Bethel,169610.0,385000.0,0.4405,Residential,Fairfield,-73.3929962,41.3738022
2012,09/27/2013,Middletown,157850.0,207000.0,0.762560386,Single Family,Middlesex,-72.6913579,41.5674438
2018,02/04/2019,Meriden,36610.0,72500.0,0.5049,Condo,New Haven,-72.7817952,41.5515839
2012,11/07/2012,Clinton,48800.0,79900.0,0.610763454,Single Family,Middlesex,-72.549136,41.296147
2006,08/13/2007,New Britain,74900.0,183900.0,0.407286569,Two Family,Hartford,-72.7918517,41.6871944
2009,06/11/2010,Southbury,83570.0,80000.0,1.044625,Condo,New Haven,-73.2476644,41.4869177
2016,08/30/2017,Westport,380300.0,525000.0,0.724380952,Single Family,Fairfield,-73.3160847,41.1421162
2006,07/27/2007,Wethersfield,221900.0,370000.0,0.59972973,Single Family,Hartford,-72.6914965,41.6882928
2013,12/02/2013,Cromwell,118640.0,171000.0,0.69380117,Condo,Middlesex,-72.6885889,41.6075752
2007,10/26/2007,Stratford,192780.0,280000.0,0.6885,Single Family,Fairfield,-73.1486749,41.1892898
2014,07/29/2015,Wolcott,104120.0,127420.0,0.817140166,Single Family,New Haven,-72.9986247,41.5905442
2010,02/28/2011,New Britain,143850.0,186000.0,0.773387097,Single Family,Hartford,-72.765429,41.6995209
2008,06/01/2009,West Hartford,193900.0,290250.0,0.668044789,Single Family,Hartford,-72.7458974,41.7696447
2012,08/05/2013,Torrington,116360.0,160000.0,0.72725,Single Family,Litchfield,-73.1196289,41.816319
2008,05/06/2009,Waterbury,101010.0,130100.0,0.776402767,Single Family,New Haven,-73.0065124,41.5553388
2020,07/12/2021,West Hartford,263270.0,518100.0,0.5081,Residential,Hartford,-72.7575334,41.7756676
2008,04/23/2009,East Haven,177800.0,249900.0,0.711484594,Condo,New Haven,-72.8725486,41.2830915
2008,07/31/2009,Stamford,278910.0,402000.0,0.69380597,Condo,Fairfield,-73.5139896,41.0454219
2016,08/28/2017,Trumbull,227010.0,339000.0,0.669646018,Single Family,Fairfield,-73.1943069,41.2588186
2008,02/27/2009,Middletown,160930.0,210000.0,0.766333333,Single Family,Middlesex,-72.6791971,41.5508133
2011,09/18/2012,Avon,228660.0,375000.0,0.60976,Single Family,Hartford,-72.880568,41.8081797
